run,seed,reinforce_mbps,minstrel_ht_mbps,ideal_mbps,reinforce_decisions,reinforce_action_counts_mcs0_to_mcs7
1,1334338375,30.385124303797443,28.310270506329115,29.115822531645524,15476,964 3392 3043 1838 2106 485 367 3282
2,633342003,30.390732911392384,28.682701898734155,29.111076329113903,15471,963 3391 3038 1839 2107 486 366 3282
3,765537396,30.416757088607564,29.172761139240514,29.119703037974652,15479,964 3396 3037 1838 2110 484 367 3284
4,1479091040,30.39475797468354,26.79363898734177,29.11280139240504,15475,964 3395 3039 1839 2104 487 367 3281
5,1383641045,30.386270632911373,29.460649240506324,29.11035734177213,15477,964 3394 3039 1838 2104 487 365 3287
6,175644312,30.40021924050632,29.394642278481022,29.11078772151896,15481,964 3395 3041 1841 2105 487 364 3285
7,1165171345,30.396628481012634,29.673901898734186,29.107195189873398,15476,961 3400 3037 1840 2106 486 364 3283
8,1990268500,30.390154683544285,28.306099367088624,29.113519367088575,15472,963 3393 3037 1838 2105 487 365 3285
9,117964676,30.39576392405063,29.220940506329136,29.108340759493647,15473,962 3395 3039 1839 2102 490 363 3284
10,917604911,30.395046202531653,29.43203569620253,29.10791113924048,15476,964 3396 3038 1841 2105 485 364 3284
11,147287560,30.397922405063273,28.677960506329107,29.112661772151878,15474,963 3391 3038 1839 2105 491 362 3286
12,339961899,30.397918734177203,28.344352025316468,29.11783430379744,15475,963 3386 3045 1840 2104 487 366 3285
13,808860806,30.397778101265818,28.03331594936709,29.118125316455657,15478,962 3395 3039 1839 2101 495 363 3285
14,1323048112,30.404248481012647,26.940024177215196,29.11481329113924,15476,963 3396 3039 1837 2107 487 362 3286
15,1097873750,30.394610253164554,29.60502037974687,29.10805569620251,15482,963 3398 3043 1838 2105 487 364 3285
16,1601182252,30.381529620253172,28.094860886075953,29.10201835443035,15476,963 3396 3038 1840 2109 485 365 3281
17,33051120,30.403099113924004,27.570569873417714,29.1176892405063,15479,963 3393 3039 1839 2108 486 365 3287
18,90602266,30.38569772151898,28.660128860759514,29.10633075949365,15475,962 3393 3039 1839 2105 489 365 3284
19,921111577,30.38080999999999,28.296032151898746,29.11294417721517,15474,963 3395 3039 1839 2108 482 364 3285
20,1512744937,30.37692607594938,29.148752025316455,29.110645822784797,15480,963 3397 3037 1839 2102 490 367 3286
