time_s,distance_m,throughput_mbps
1,2,58.7539
1.5,3.5,59.4582
2,5,59.481
2.5,6.5,59.4355
3,8,59.5037
3.5,9.5,59.3901
4,11,54.2781
4.5,12.5,43.0998
5,14,35.6477
5.5,15.5,35.6931
6,17,35.5795
6.5,18.5,25.0374
7,20,23.7878
7.5,21.5,23.697
8,23,18.9939
8.5,23.5,17.7443
9,22,17.767
9.5,20.5,22.6973
10,19,23.7651
10.5,20.5,23.7424
11,22,22.9472
11.5,23.5,17.767
12,23,17.7443
12.5,21.5,18.7894
13,20,23.697
13.5,18.5,23.7878
14,17,24.7194
14.5,18.5,25.1056
15,20,23.7424
15.5,21.5,23.697
16,23,18.903
16.5,23.5,17.7443
17,22,17.7443
17.5,20.5,22.7427
18,19,23.7424
18.5,20.5,23.7651
19,22,22.9018
19.5,23.5,17.7443
20,23,17.767
20.5,21.5,18.8349
21,20,23.7424
21.5,18.5,23.7651
22,17,24.7875
22.5,15.5,35.625
23,14,35.6477
23.5,12.5,35.6477
24,11,42.6454
24.5,9.5,53.8464
25,8,59.3901
25.5,6.5,59.5718
26,5,59.4582
26.5,3.5,59.4355
27,2,59.481
27.5,0.5,59.5946
28,1,59.4355
28.5,2.5,59.5037
29,4,59.5264
29.5,5.5,59.481
30,7,59.5718
30.5,5.5,59.4582
31,4,59.4128
31.5,2.5,59.5491
32,1,59.4582
32.5,0.5,59.5718
33,2,59.5037
33.5,3.5,59.5718
34,5,59.5264
34.5,6.5,59.5264
35,8,59.5264
35.5,9.5,59.4355
36,11,54.0509
36.5,9.5,53.9827
37,8,59.481
37.5,6.5,59.4355
38,5,59.5037
38.5,6.5,59.5264
39,8,59.5946
39.5,9.5,59.4582
